24,36,,
0,0,19,78.97
1,0,1,131.91
2,1,2,84.41
3,1,6,195.96
4,2,0,164.02
5,2,3,849.24
6,3,4,149.85
7,4,8,658.14
8,5,2,130.83
9,6,5,72.93
10,6,7,196.22
11,7,9,114.46
12,8,7,164.48
13,8,5,207.93
14,9,12,50.59
15,9,10,75.17
16,10,11,108.36
17,11,14,185.35
18,12,22,109.79
19,13,11,47.06
20,13,12,210.67
21,14,15,86.53
22,14,10,146.64
23,15,9,170.94
24,15,6,227.96
25,16,15,88.79
26,16,17,158.51
27,17,18,43.66
28,17,19,158.42
29,18,1,96.28
30,19,20,141.50
31,20,0,163.00
32,21,8,183.02
33,21,22,304.63
34,22,21,304.63
35,22,23,146.81
36,23,21,975.88
